idno	group
ENG18670_Ouida	T2_1860-79
ENG18661_Oliphant	T2_1860-79
ENG18640_Blackmore	T2_1860-79
ENG18740_Ouida	T2_1860-79
ENG18741_Bulwer	T2_1860-79
ENG18610_Eliot	T2_1860-79
ENG18600_Clive	T2_1860-79
ENG18702_Jenkins	T2_1860-79
ENG18700_Oliphant	T2_1860-79
ENG18621_Braddon	T2_1860-79
ENG18721_Eliot	T2_1860-79
ENG18770_Mallock	T2_1860-79
ENG18651_Yonge	T2_1860-79
ENG18650_Trollope	T2_1860-79
ENG18652_Carroll	T2_1860-79
ENG18632_Reade	T2_1860-79
ENG18641_Stretton	T2_1860-79
ENG18630_Craik	T2_1860-79
ENG18760_Collins	T2_1860-79
ENG18660_Eliot	T2_1860-79
ENG19181_West	T4_1900-20
ENG19004_Fowler	T4_1900-20
ENG19001_Glyn	T4_1900-20
ENG19200_Lawrence	T4_1900-20
ENG19180_Lewis	T4_1900-20
ENG19011_Jerome	T4_1900-20
ENG19191_Hamilton	T4_1900-20
ENG19100_Forster	T4_1900-20
ENG19060_Nesbit	T4_1900-20
ENG19190_Benson	T4_1900-20
ENG19111_Hornung	T4_1900-20
ENG19120_Wells	T4_1900-20
ENG19192_Woolf	T4_1900-20
ENG18970_Phillpots	T4_1900-20
ENG19071_Silberrad	T4_1900-20
ENG19005_Steel	T4_1900-20
ENG19080_Chesterton	T4_1900-20
ENG19090_Wells	T4_1900-20
ENG19070_Machen	T4_1900-20
ENG19121_Belloc	T4_1900-20
